bin_lo_GeV,bin_hi_GeV,SM_dsig_pb_per_GeV,EFT_dsig_pb_per_GeV,ratio,ratio_stat
160,184,0.000252975,0.000253819,1.00334,0.00360996
184,208,0.000287808,0.000285686,0.992629,0.00335735
208,232,0.000240099,0.000240612,1.00214,0.00370217
232,256,0.000190297,0.000190053,0.998715,0.00414783
256,280,0.000148799,0.000148397,0.997293,0.00468568
280,304,0.000115426,0.000116169,1.00644,0.0053567
304,328,8.99134e-05,8.9322e-05,0.993422,0.00601029
328,352,7.01064e-05,6.95473e-05,0.992026,0.00679941
352,376,5.42079e-05,5.49024e-05,1.01281,0.00785373
376,400,4.32748e-05,4.27314e-05,0.987443,0.00862435
400,424,3.34443e-05,3.32457e-05,0.994062,0.00985952
424,448,2.59882e-05,2.62503e-05,1.01009,0.0113199
448,472,2.03829e-05,2.06616e-05,1.01367,0.0128159
472,496,1.59788e-05,1.59138e-05,0.995931,0.0142842
496,520,1.24428e-05,1.21579e-05,0.977108,0.0159576
520,544,9.82556e-06,9.93323e-06,1.01096,0.0184218
544,568,7.47911e-06,7.61509e-06,1.01818,0.021228
568,592,5.74799e-06,5.53139e-06,0.962318,0.0232127
592,616,4.53866e-06,4.48544e-06,0.988275,0.0266473
616,640,3.33426e-06,3.27064e-06,0.980919,0.0309165
640,664,2.53023e-06,2.38699e-06,0.943389,0.0344734
664,688,1.73112e-06,1.65745e-06,0.957442,0.0421382
688,712,1.2044e-06,1.32629e-06,1.1012,0.0561341
712,736,8.54896e-07,9.96765e-07,1.16595,0.0696075
736,760,5.93997e-07,7.04949e-07,1.18679,0.0846541
760,784,4.46318e-07,4.73791e-07,1.06156,0.089679
784,808,2.78949e-07,2.90177e-07,1.04025,0.11171
808,832,1.96905e-07,2.00009e-07,1.01576,0.130596
832,856,1.3127e-07,1.63942e-07,1.24889,0.187333
856,880,7.71211e-08,1.09841e-07,1.42426,0.270992
880,904,6.07124e-08,6.88555e-08,1.13413,0.255711
904,928,5.2508e-08,3.44277e-08,0.655667,0.184135
928,952,2.78949e-08,2.95095e-08,1.05788,0.357776
952,976,1.3127e-08,9.8365e-09,0.749333,0.404686
976,1000,6.5635e-09,4.91825e-09,0.749333,0.572313
1000,1024,4.92263e-09,3.27883e-09,0.666074,0.60804
1024,1048,0,1.63942e-09,0,0
1048,1072,0,0,0,0
1072,1096,0,0,0,0
1096,1120,0,0,0,0
1120,1144,0,1.63942e-09,0,0
1144,1168,0,0,0,0
1168,1192,0,0,0,0
1192,1216,0,0,0,0
1216,1240,0,0,0,0
1240,1264,0,0,0,0
1264,1288,0,0,0,0
1288,1312,0,0,0,0
1312,1336,0,0,0,0
1336,1360,0,0,0,0
1360,1384,0,0,0,0
1384,1408,0,0,0,0
1408,1432,0,0,0,0
1432,1456,0,0,0,0
1456,1480,0,0,0,0
1480,1504,0,0,0,0
1504,1528,0,0,0,0
1528,1552,0,0,0,0
1552,1576,0,0,0,0
1576,1600,0,0,0,0
