bin_center,SM_dsig,EFT_dsig
18.75,2.32606e-06,2.93146e-06
56.25,1.81497e-06,3.98037e-06
93.75,1.59162e-06,4.77602e-06
131.25,1.35217e-06,5.559e-06
168.75,7.18341e-07,5.67297e-06
206.25,3.05848e-07,5.40283e-06
243.75,1.10669e-07,5.47459e-06
281.25,5.63405e-08,5.4577e-06
318.75,3.21946e-08,5.23188e-06
356.25,2.21338e-08,4.92164e-06
393.75,4.02432e-09,4.4109e-06
431.25,1.00608e-08,4.02046e-06
468.75,4.02432e-09,3.51606e-06
506.25,0,2.71197e-06
543.75,0,2.41861e-06
581.25,0,2.08093e-06
